Index    FREQ              Vmain             VMain2     
95       1.54881662e+03    3.77361313e-01    3.68366799e-01
96       1.55596563e+03    3.77361668e-01    3.68366440e-01
97       1.56314764e+03    3.77362027e-01    3.68366078e-01
98       1.57036280e+03    3.77362390e-01    3.68365713e-01
99       1.57761127e+03    3.77362756e-01    3.68365344e-01
100      1.58489319e+03    3.77363126e-01    3.68364972e-01
101      1.59220873e+03    3.77363499e-01    3.68364596e-01
102      1.59955803e+03    3.77363875e-01    3.68364217e-01
103      1.60694125e+03    3.77364255e-01    3.68363834e-01
104      1.61435856e+03    3.77364638e-01    3.68363448e-01
105      1.62181010e+03    3.77365025e-01    3.68363059e-01
106      1.62929603e+03    3.77365415e-01    3.68362667e-01
107      1.63681652e+03    3.77365808e-01    3.68362271e-01
108      1.64437172e+03    3.77366204e-01    3.68361872e-01
109      1.65196180e+03    3.77366604e-01    3.68361470e-01
110      1.65958691e+03    3.77367007e-01    3.68361065e-01
111      1.66724721e+03    3.77367413e-01    3.68360657e-01
112      1.67494288e+03    3.77367822e-01    3.68360245e-01
113      1.68267406e+03    3.77368234e-01    3.68359831e-01
114      1.69044093e+03    3.77368649e-01    3.68359413e-01
115      1.69824365e+03    3.77369068e-01    3.68358992e-01
116      1.70608239e+03    3.77369489e-01    3.68358569e-01
117      1.71395731e+03    3.77369913e-01    3.68358142e-01
118      1.72186857e+03    3.77370340e-01    3.68357713e-01
119      1.72981636e+03    3.77370771e-01    3.68357281e-01
120      1.73780083e+03    3.77371204e-01    3.68356846e-01
121      1.74582215e+03    3.77371639e-01    3.68356408e-01
122      1.75388050e+03    3.77372078e-01    3.68355967e-01
123      1.76197605e+03    3.77372520e-01    3.68355523e-01
124      1.77010896e+03    3.77372964e-01    3.68355077e-01
125      1.77827941e+03    3.77373411e-01    3.68354628e-01
126      1.78648757e+03    3.77373860e-01    3.68354177e-01
127      1.79473363e+03    3.77374313e-01    3.68353722e-01
128      1.80301774e+03    3.77374768e-01    3.68353266e-01
129      1.81134009e+03    3.77375225e-01    3.68352806e-01
130      1.81970086e+03    3.77375685e-01    3.68352344e-01
131      1.82810022e+03    3.77376148e-01    3.68351880e-01
132      1.83653834e+03    3.77376613e-01    3.68351413e-01
133      1.84501542e+03    3.77377080e-01    3.68350944e-01
134      1.85353162e+03    3.77377550e-01    3.68350472e-01
135      1.86208714e+03    3.77378023e-01    3.68349998e-01
136      1.87068214e+03    3.77378497e-01    3.68349521e-01
137      1.87931682e+03    3.77378974e-01    3.68349043e-01
138      1.88799135e+03    3.77379454e-01    3.68348562e-01
139      1.89670592e+03    3.77379935e-01    3.68348079e-01
140      1.90546072e+03    3.77380419e-01    3.68347593e-01
141      1.91425593e+03    3.77380905e-01    3.68347106e-01
142      1.92309173e+03    3.77381393e-01    3.68346616e-01
143      1.93196832e+03    3.77381883e-01    3.68346124e-01
144      1.94088588e+03    3.77382376e-01    3.68345630e-01
145      1.94984460e+03    3.77382870e-01    3.68345134e-01
146      1.95884467e+03    3.77383367e-01    3.68344636e-01
147      1.96788629e+03    3.77383865e-01    3.68344136e-01
148      1.97696964e+03    3.77384366e-01    3.68343634e-01
149      1.98609492e+03    3.77384868e-01    3.68343131e-01
150      1.99526231e+03    3.77385372e-01    3.68342625e-01
151      2.00447203e+03    3.77385878e-01    3.68342118e-01
152      2.01372425e+03    3.77386386e-01    3.68341608e-01
153      2.02301918e+03    3.77386896e-01    3.68341097e-01
154      2.03235701e+03    3.77387407e-01    3.68340585e-01
155      2.04173794e+03    3.77387920e-01    3.68340070e-01
156      2.05116218e+03    3.77388435e-01    3.68339554e-01
157      2.06062991e+03    3.77388952e-01    3.68339036e-01
158      2.07014135e+03    3.77389470e-01    3.68338517e-01
159      2.07969669e+03    3.77389989e-01    3.68337996e-01
160      2.08929613e+03    3.77390511e-01    3.68337474e-01
161      2.09893988e+03    3.77391033e-01    3.68336950e-01
162      2.10862815e+03    3.77391558e-01    3.68336425e-01
163      2.11836114e+03    3.77392083e-01    3.68335898e-01
164      2.12813905e+03    3.77392610e-01    3.68335370e-01
165      2.13796209e+03    3.77393139e-01    3.68334840e-01
166      2.14783047e+03    3.77393668e-01    3.68334309e-01
167      2.15774441e+03    3.77394199e-01    3.68333777e-01
168      2.16770410e+03    3.77394732e-01    3.68333244e-01
169      2.17770977e+03    3.77395265e-01    3.68332709e-01
170      2.18776162e+03    3.77395800e-01    3.68332173e-01
171      2.19785987e+03    3.77396336e-01    3.68331636e-01
172      2.20800473e+03    3.77396873e-01    3.68331098e-01
173      2.21819642e+03    3.77397411e-01    3.68330559e-01
174      2.22843515e+03    3.77397950e-01    3.68330019e-01
175      2.23872114e+03    3.77398491e-01    3.68329478e-01
176      2.24905461e+03    3.77399032e-01    3.68328936e-01
177      2.25943577e+03    3.77399574e-01    3.68328393e-01
178      2.26986485e+03    3.77400117e-01    3.68327849e-01
179      2.28034207e+03    3.77400661e-01    3.68327304e-01
180      2.29086765e+03    3.77401206e-01    3.68326758e-01
181      2.30144182e+03    3.77401752e-01    3.68326211e-01
182      2.31206479e+03    3.77402298e-01    3.68325664e-01
183      2.32273680e+03    3.77402845e-01    3.68325116e-01
184      2.33345806e+03    3.77403393e-01    3.68324567e-01
185      2.34422882e+03    3.77403942e-01    3.68324018e-01
186      2.35504928e+03    3.77404491e-01    3.68323468e-01
187      2.36591970e+03    3.77405041e-01    3.68322917e-01
188      2.37684029e+03    3.77405591e-01    3.68322366e-01
189      2.38781128e+03    3.77406142e-01    3.68321814e-01
190      2.39883292e+03    3.77406694e-01    3.68321262e-01
191      2.40990543e+03    3.77407246e-01    3.68320709e-01
192      2.42102905e+03    3.77407798e-01    3.68320156e-01
193      2.43220401e+03    3.77408351e-01    3.68319602e-01
194      2.44343055e+03    3.77408905e-01    3.68319048e-01
195      2.45470892e+03    3.77409458e-01    3.68318494e-01
196      2.46603934e+03    3.77410012e-01    3.68317939e-01
197      2.47742206e+03    3.77410566e-01    3.68317384e-01
198      2.48885732e+03    3.77411121e-01    3.68316829e-01
199      2.50034536e+03    3.77411676e-01    3.68316274e-01
200      2.51188643e+03    3.77412231e-01    3.68315718e-01
201      2.52348077e+03    3.77412786e-01    3.68315163e-01
202      2.53512863e+03    3.77413341e-01    3.68314607e-01
203      2.54683025e+03    3.77413896e-01    3.68314051e-01
204      2.55858589e+03    3.77414451e-01    3.68313495e-01
205      2.57039578e+03    3.77415007e-01    3.68312939e-01
206      2.58226019e+03    3.77415562e-01    3.68312383e-01
207      2.59417936e+03    3.77416118e-01    3.68311827e-01
208      2.60615355e+03    3.77416673e-01    3.68311272e-01
209      2.61818301e+03    3.77417228e-01    3.68310716e-01
210      2.63026799e+03    3.77417783e-01    3.68310160e-01
211      2.64240876e+03    3.77418338e-01    3.68309605e-01
212      2.65460556e+03    3.77418893e-01    3.68309050e-01
213      2.66685866e+03    3.77419447e-01    3.68308495e-01
214      2.67916832e+03    3.77420001e-01    3.68307940e-01
215      2.69153480e+03    3.77420555e-01    3.68307385e-01
216      2.70395836e+03    3.77421109e-01    3.68306831e-01
217      2.71643927e+03    3.77421662e-01    3.68306277e-01
218      2.72897778e+03    3.77422215e-01    3.68305724e-01
219      2.74157417e+03    3.77422768e-01    3.68305171e-01
220      2.75422870e+03    3.77423320e-01    3.68304618e-01
221      2.76694165e+03    3.77423872e-01    3.68304066e-01
222      2.77971327e+03    3.77424423e-01    3.68303514e-01
223      2.79254384e+03    3.77424974e-01    3.68302963e-01
224      2.80543364e+03    3.77425524e-01    3.68302413e-01
225      2.81838293e+03    3.77426074e-01    3.68301863e-01
226      2.83139200e+03    3.77426623e-01    3.68301313e-01
227      2.84446111e+03    3.77427171e-01    3.68300764e-01
228      2.85759054e+03    3.77427719e-01    3.68300216e-01
229      2.87078058e+03    3.77428266e-01    3.68299669e-01
230      2.88403150e+03    3.77428813e-01    3.68299122e-01
231      2.89734359e+03    3.77429358e-01    3.68298576e-01
232      2.91071712e+03    3.77429903e-01    3.68298031e-01
233      2.92415238e+03    3.77430447e-01    3.68297486e-01
234      2.93764965e+03    3.77430991e-01    3.68296942e-01
235      2.95120923e+03    3.77431533e-01    3.68296399e-01
236      2.96483139e+03    3.77432075e-01    3.68295857e-01
237      2.97851643e+03    3.77432616e-01    3.68295316e-01
238      2.99226464e+03    3.77433156e-01    3.68294776e-01
239      3.00607630e+03    3.77433694e-01    3.68294237e-01
240      3.01995172e+03    3.77434233e-01    3.68293698e-01
241      3.03389118e+03    3.77434770e-01    3.68293161e-01
242      3.04789499e+03    3.77435306e-01    3.68292625e-01
243      3.06196343e+03    3.77435841e-01    3.68292089e-01
244      3.07609681e+03    3.77436375e-01    3.68291555e-01
245      3.09029543e+03    3.77436907e-01    3.68291022e-01
246      3.10455959e+03    3.77437439e-01    3.68290490e-01
247      3.11888958e+03    3.77437970e-01    3.68289959e-01
248      3.13328572e+03    3.77438500e-01    3.68289429e-01
249      3.14774831e+03    3.77439028e-01    3.68288900e-01
250      3.16227766e+03    3.77439555e-01    3.68288373e-01
251      3.17687407e+03    3.77440081e-01    3.68287847e-01
252      3.19153786e+03    3.77440606e-01    3.68287322e-01
253      3.20626932e+03    3.77441129e-01    3.68286798e-01
254      3.22106879e+03    3.77441652e-01    3.68286275e-01
255      3.23593657e+03    3.77442173e-01    3.68285754e-01
256      3.25087297e+03    3.77442692e-01    3.68285234e-01
257      3.26587832e+03    3.77443211e-01    3.68284716e-01
258      3.28095293e+03    3.77443728e-01    3.68284198e-01
259      3.29609712e+03    3.77444244e-01    3.68283682e-01
260      3.31131121e+03    3.77444758e-01    3.68283168e-01
261      3.32659553e+03    3.77445271e-01    3.68282655e-01
262      3.34195040e+03    3.77445782e-01    3.68282143e-01
263      3.35737614e+03    3.77446292e-01    3.68281633e-01
264      3.37287309e+03    3.77446801e-01    3.68281124e-01
265      3.38844156e+03    3.77447308e-01    3.68280617e-01
266      3.40408190e+03    3.77447813e-01    3.68280111e-01
267      3.41979443e+03    3.77448318e-01    3.68279607e-01
268      3.43557948e+03    3.77448820e-01    3.68279104e-01
269      3.45143739e+03    3.77449321e-01    3.68278603e-01
270      3.46736850e+03    3.77449821e-01    3.68278103e-01
271      3.48337315e+03    3.77450319e-01    3.68277605e-01
272      3.49945167e+03    3.77450815e-01    3.68277108e-01
273      3.51560441e+03    3.77451310e-01    3.68276613e-01
274      3.53183170e+03    3.77451803e-01    3.68276120e-01
275      3.54813389e+03    3.77452294e-01    3.68275629e-01
276      3.56451133e+03    3.77452784e-01    3.68275139e-01
277      3.58096437e+03    3.77453272e-01    3.68274650e-01
278      3.59749335e+03    3.77453759e-01    3.68274164e-01
279      3.61409863e+03    3.77454244e-01    3.68273679e-01
280      3.63078055e+03    3.77454727e-01    3.68273195e-01
281      3.64753947e+03    3.77455208e-01    3.68272714e-01
282      3.66437575e+03    3.77455688e-01    3.68272234e-01
283      3.68128974e+03    3.77456166e-01    3.68271756e-01
284      3.69828180e+03    3.77456642e-01    3.68271279e-01
285      3.71535229e+03    3.77457116e-01    3.68270805e-01
286      3.73250158e+03    3.77457589e-01    3.68270332e-01
287      3.74973002e+03    3.77458060e-01    3.68269861e-01
288      3.76703799e+03    3.77458529e-01    3.68269392e-01
289      3.78442585e+03    3.77458996e-01    3.68268924e-01
290      3.80189396e+03    3.77459462e-01    3.68268459e-01
291      3.81944271e+03    3.77459925e-01    3.68267995e-01
292      3.83707245e+03    3.77460387e-01    3.68267533e-01
293      3.85478358e+03    3.77460847e-01    3.68267073e-01
294      3.87257645e+03    3.77461305e-01    3.68266615e-01
295      3.89045145e+03    3.77461761e-01    3.68266159e-01
296      3.90840896e+03    3.77462216e-01    3.68265704e-01
297      3.92644935e+03    3.77462668e-01    3.68265252e-01
298      3.94457302e+03    3.77463119e-01    3.68264801e-01
299      3.96278034e+03    3.77463567e-01    3.68264352e-01
300      3.98107171e+03    3.77464014e-01    3.68263905e-01
301      3.99944750e+03    3.77464459e-01    3.68263460e-01
302      4.01790811e+03    3.77464902e-01    3.68263017e-01
303      4.03645393e+03    3.77465343e-01    3.68262576e-01
304      4.05508535e+03    3.77465782e-01    3.68262137e-01
305      4.07380278e+03    3.77466219e-01    3.68261700e-01
306      4.09260660e+03    3.77466654e-01    3.68261265e-01
307      4.11149721e+03    3.77467087e-01    3.68260831e-01
308      4.13047502e+03    3.77467519e-01    3.68260400e-01
309      4.14954043e+03    3.77467948e-01    3.68259971e-01
310      4.16869383e+03    3.77468375e-01    3.68259543e-01
311      4.18793565e+03    3.77468800e-01    3.68259118e-01
312      4.20726628e+03    3.77469224e-01    3.68258694e-01
