Index       FREQ            VM(FIRST)         VM(GATE)           VM(FBK)          VM(DRAIN)          VM(F2)         VM(OUT2_HI_N)  
48       1.24738351e+03    1.97228902e+00    1.91106059e-03    1.97842898e+00    7.43799050e-04    1.04411706e+00    1.18137367e+00
49       1.25314117e+03    1.97234591e+00    1.91107068e-03    1.97849518e+00    7.43817137e-04    1.04760934e+00    1.18532504e+00
50       1.25892541e+03    1.97240217e+00    1.91108188e-03    1.97856078e+00    7.43835110e-04    1.05110394e+00    1.18927902e+00
51       1.26473635e+03    1.97245780e+00    1.91109419e-03    1.97862578e+00    7.43852969e-04    1.05460075e+00    1.19323552e+00
52       1.27057411e+03    1.97251281e+00    1.91110762e-03    1.97869020e+00    7.43870717e-04    1.05809971e+00    1.19719444e+00
53       1.27643881e+03    1.97256719e+00    1.91112215e-03    1.97875402e+00    7.43888355e-04    1.06160071e+00    1.20115567e+00
54       1.28233058e+03    1.97262096e+00    1.91113779e-03    1.97881727e+00    7.43905883e-04    1.06510366e+00    1.20511911e+00
55       1.28824955e+03    1.97267412e+00    1.91115455e-03    1.97887994e+00    7.43923303e-04    1.06860848e+00    1.20908467e+00
56       1.29419584e+03    1.97272667e+00    1.91117241e-03    1.97894204e+00    7.43940617e-04    1.07211508e+00    1.21305223e+00
57       1.30016958e+03    1.97277863e+00    1.91119138e-03    1.97900357e+00    7.43957826e-04    1.07562336e+00    1.21702170e+00
58       1.30617089e+03    1.97282999e+00    1.91121147e-03    1.97906454e+00    7.43974930e-04    1.07913324e+00    1.22099298e+00
59       1.31219990e+03    1.97288077e+00    1.91123266e-03    1.97912496e+00    7.43991931e-04    1.08264462e+00    1.22496595e+00
60       1.31825674e+03    1.97293096e+00    1.91125496e-03    1.97918483e+00    7.44008831e-04    1.08615740e+00    1.22894051e+00
61       1.32434154e+03    1.97298057e+00    1.91127837e-03    1.97924416e+00    7.44025631e-04    1.08967150e+00    1.23291657e+00
62       1.33045442e+03    1.97302961e+00    1.91130289e-03    1.97930294e+00    7.44042331e-04    1.09318682e+00    1.23689400e+00
63       1.33659552e+03    1.97307809e+00    1.91132852e-03    1.97936119e+00    7.44058933e-04    1.09670327e+00    1.24087272e+00
64       1.34276496e+03    1.97312600e+00    1.91135525e-03    1.97941891e+00    7.44075438e-04    1.10022076e+00    1.24485260e+00
65       1.34896288e+03    1.97317335e+00    1.91138310e-03    1.97947610e+00    7.44091847e-04    1.10373918e+00    1.24883354e+00
66       1.35518941e+03    1.97322015e+00    1.91141206e-03    1.97953278e+00    7.44108162e-04    1.10725845e+00    1.25281544e+00
67       1.36144468e+03    1.97326640e+00    1.91144214e-03    1.97958893e+00    7.44124383e-04    1.11077847e+00    1.25679819e+00
68       1.36772883e+03    1.97331211e+00    1.91147332e-03    1.97964458e+00    7.44140512e-04    1.11429913e+00    1.26078168e+00
69       1.37404198e+03    1.97335729e+00    1.91150561e-03    1.97969971e+00    7.44156550e-04    1.11782036e+00    1.26476579e+00
70       1.38038426e+03    1.97340192e+00    1.91153902e-03    1.97975435e+00    7.44172498e-04    1.12134204e+00    1.26875042e+00
71       1.38675583e+03    1.97344603e+00    1.91157355e-03    1.97980848e+00    7.44188357e-04    1.12486409e+00    1.27273547e+00
72       1.39315680e+03    1.97348962e+00    1.91160918e-03    1.97986213e+00    7.44204129e-04    1.12838640e+00    1.27672081e+00
73       1.39958732e+03    1.97353268e+00    1.91164594e-03    1.97991528e+00    7.44219813e-04    1.13190888e+00    1.28070634e+00
74       1.40604752e+03    1.97357524e+00    1.91168381e-03    1.97996795e+00    7.44235412e-04    1.13543142e+00    1.28469195e+00
75       1.41253754e+03    1.97361728e+00    1.91172280e-03    1.98002014e+00    7.44250927e-04    1.13895394e+00    1.28867753e+00
76       1.41905752e+03    1.97365881e+00    1.91176290e-03    1.98007185e+00    7.44266358e-04    1.14247633e+00    1.29266296e+00
77       1.42560759e+03    1.97369985e+00    1.91180413e-03    1.98012309e+00    7.44281707e-04    1.14599849e+00    1.29664814e+00
78       1.43218790e+03    1.97374039e+00    1.91184648e-03    1.98017387e+00    7.44296974e-04    1.14952032e+00    1.30063294e+00
79       1.43879858e+03    1.97378044e+00    1.91188995e-03    1.98022418e+00    7.44312161e-04    1.15304173e+00    1.30461726e+00
80       1.44543977e+03    1.97382000e+00    1.91193454e-03    1.98027403e+00    7.44327269e-04    1.15656261e+00    1.30860099e+00
81       1.45211162e+03    1.97385908e+00    1.91198027e-03    1.98032343e+00    7.44342299e-04    1.16008287e+00    1.31258400e+00
82       1.45881426e+03    1.97389768e+00    1.91202711e-03    1.98037237e+00    7.44357251e-04    1.16360239e+00    1.31656620e+00
83       1.46554784e+03    1.97393580e+00    1.91207509e-03    1.98042087e+00    7.44372128e-04    1.16712109e+00    1.32054746e+00
84       1.47231250e+03    1.97397346e+00    1.91212420e-03    1.98046893e+00    7.44386929e-04    1.17063887e+00    1.32452767e+00
85       1.47910839e+03    1.97401065e+00    1.91217444e-03    1.98051655e+00    7.44401656e-04    1.17415561e+00    1.32850671e+00
86       1.48593564e+03    1.97404738e+00    1.91222581e-03    1.98056373e+00    7.44416310e-04    1.17767122e+00    1.33248447e+00
87       1.49279441e+03    1.97408365e+00    1.91227833e-03    1.98061048e+00    7.44430892e-04    1.18118560e+00    1.33646084e+00
88       1.49968484e+03    1.97411947e+00    1.91233197e-03    1.98065681e+00    7.44445403e-04    1.18469864e+00    1.34043570e+00
89       1.50660707e+03    1.97415484e+00    1.91238676e-03    1.98070271e+00    7.44459843e-04    1.18821026e+00    1.34440894e+00
90       1.51356125e+03    1.97418977e+00    1.91244270e-03    1.98074819e+00    7.44474215e-04    1.19172033e+00    1.34838044e+00
91       1.52054753e+03    1.97422425e+00    1.91249977e-03    1.98079326e+00    7.44488518e-04    1.19522876e+00    1.35235008e+00
92       1.52756606e+03    1.97425830e+00    1.91255800e-03    1.98083792e+00    7.44502754e-04    1.19873545e+00    1.35631775e+00
93       1.53461698e+03    1.97429192e+00    1.91261737e-03    1.98088217e+00    7.44516923e-04    1.20224030e+00    1.36028334e+00
94       1.54170045e+03    1.97432511e+00    1.91267790e-03    1.98092601e+00    7.44531027e-04    1.20574320e+00    1.36424672e+00
95       1.54881662e+03    1.97435788e+00    1.91273958e-03    1.98096945e+00    7.44545067e-04    1.20924406e+00    1.36820778e+00
96       1.55596563e+03    1.97439023e+00    1.91280241e-03    1.98101250e+00    7.44559042e-04    1.21274276e+00    1.37216642e+00
97       1.56314764e+03    1.97442216e+00    1.91286641e-03    1.98105515e+00    7.44572956e-04    1.21623921e+00    1.37612250e+00
98       1.57036280e+03    1.97445367e+00    1.91293157e-03    1.98109741e+00    7.44586807e-04    1.21973330e+00    1.38007591e+00
99       1.57761127e+03    1.97448478e+00    1.91299789e-03    1.98113929e+00    7.44600598e-04    1.22322493e+00    1.38402655e+00
100      1.58489319e+03    1.97451549e+00    1.91306539e-03    1.98118078e+00    7.44614329e-04    1.22671401e+00    1.38797428e+00
101      1.59220873e+03    1.97454579e+00    1.91313405e-03    1.98122190e+00    7.44628001e-04    1.23020041e+00    1.39191900e+00
102      1.59955803e+03    1.97457570e+00    1.91320389e-03    1.98126263e+00    7.44641615e-04    1.23368405e+00    1.39586059e+00
103      1.60694125e+03    1.97460522e+00    1.91327491e-03    1.98130300e+00    7.44655172e-04    1.23716483e+00    1.39979894e+00
104      1.61435856e+03    1.97463434e+00    1.91334711e-03    1.98134300e+00    7.44668672e-04    1.24064263e+00    1.40373392e+00
105      1.62181010e+03    1.97466308e+00    1.91342049e-03    1.98138263e+00    7.44682117e-04    1.24411735e+00    1.40766542e+00
106      1.62929603e+03    1.97469144e+00    1.91349507e-03    1.98142189e+00    7.44695507e-04    1.24758890e+00    1.41159333e+00
107      1.63681652e+03    1.97471942e+00    1.91357083e-03    1.98146080e+00    7.44708843e-04    1.25105717e+00    1.41551753e+00
108      1.64437172e+03    1.97474702e+00    1.91364779e-03    1.98149935e+00    7.44722127e-04    1.25452206e+00    1.41943790e+00
109      1.65196180e+03    1.97477426e+00    1.91372594e-03    1.98153755e+00    7.44735358e-04    1.25798346e+00    1.42335433e+00
110      1.65958691e+03    1.97480113e+00    1.91380530e-03    1.98157540e+00    7.44748538e-04    1.26144128e+00    1.42726670e+00
111      1.66724721e+03    1.97482763e+00    1.91388587e-03    1.98161291e+00    7.44761668e-04    1.26489541e+00    1.43117490e+00
112      1.67494288e+03    1.97485377e+00    1.91396765e-03    1.98165007e+00    7.44774749e-04    1.26834575e+00    1.43507882e+00
113      1.68267406e+03    1.97487956e+00    1.91405064e-03    1.98168689e+00    7.44787781e-04    1.27179220e+00    1.43897833e+00
114      1.69044093e+03    1.97490499e+00    1.91413485e-03    1.98172337e+00    7.44800765e-04    1.27523466e+00    1.44287332e+00
115      1.69824365e+03    1.97493007e+00    1.91422028e-03    1.98175952e+00    7.44813701e-04    1.27867303e+00    1.44676369e+00
116      1.70608239e+03    1.97495481e+00    1.91430694e-03    1.98179534e+00    7.44826592e-04    1.28210720e+00    1.45064931e+00
117      1.71395731e+03    1.97497921e+00    1.91439483e-03    1.98183082e+00    7.44839438e-04    1.28553708e+00    1.45453006e+00
118      1.72186857e+03    1.97500326e+00    1.91448396e-03    1.98186599e+00    7.44852238e-04    1.28896256e+00    1.45840585e+00
119      1.72981636e+03    1.97502698e+00    1.91457433e-03    1.98190083e+00    7.44864995e-04    1.29238354e+00    1.46227655e+00
120      1.73780083e+03    1.97505037e+00    1.91466594e-03    1.98193535e+00    7.44877709e-04    1.29579993e+00    1.46614205e+00
121      1.74582215e+03    1.97507342e+00    1.91475881e-03    1.98196956e+00    7.44890381e-04    1.29921163e+00    1.47000223e+00
122      1.75388050e+03    1.97509615e+00    1.91485292e-03    1.98200346e+00    7.44903011e-04    1.30261852e+00    1.47385699e+00
123      1.76197605e+03    1.97511856e+00    1.91494830e-03    1.98203704e+00    7.44915601e-04    1.30602053e+00    1.47770621e+00
124      1.77010896e+03    1.97514065e+00    1.91504495e-03    1.98207031e+00    7.44928151e-04    1.30941754e+00    1.48154978e+00
125      1.77827941e+03    1.97516242e+00    1.91514286e-03    1.98210328e+00    7.44940662e-04    1.31280946e+00    1.48538760e+00
126      1.78648757e+03    1.97518388e+00    1.91524205e-03    1.98213595e+00    7.44953135e-04    1.31619619e+00    1.48921954e+00
127      1.79473363e+03    1.97520503e+00    1.91534252e-03    1.98216832e+00    7.44965570e-04    1.31957763e+00    1.49304549e+00
128      1.80301774e+03    1.97522587e+00    1.91544428e-03    1.98220039e+00    7.44977968e-04    1.32295369e+00    1.49686536e+00
129      1.81134009e+03    1.97524641e+00    1.91554733e-03    1.98223217e+00    7.44990331e-04    1.32632427e+00    1.50067902e+00
130      1.81970086e+03    1.97526665e+00    1.91565167e-03    1.98226366e+00    7.45002658e-04    1.32968927e+00    1.50448637e+00
131      1.82810022e+03    1.97528659e+00    1.91575732e-03    1.98229485e+00    7.45014951e-04    1.33304859e+00    1.50828730e+00
132      1.83653834e+03    1.97530624e+00    1.91586428e-03    1.98232577e+00    7.45027210e-04    1.33640214e+00    1.51208170e+00
133      1.84501542e+03    1.97532560e+00    1.91597255e-03    1.98235639e+00    7.45039436e-04    1.33974983e+00    1.51586946e+00
134      1.85353162e+03    1.97534466e+00    1.91608214e-03    1.98238674e+00    7.45051630e-04    1.34309155e+00    1.51965048e+00
135      1.86208714e+03    1.97536344e+00    1.91619306e-03    1.98241681e+00    7.45063792e-04    1.34642722e+00    1.52342465e+00
136      1.87068214e+03    1.97538195e+00    1.91630532e-03    1.98244660e+00    7.45075924e-04    1.34975674e+00    1.52719186e+00
137      1.87931682e+03    1.97540017e+00    1.91641891e-03    1.98247612e+00    7.45088026e-04    1.35308002e+00    1.53095201e+00
138      1.88799135e+03    1.97541811e+00    1.91653385e-03    1.98250537e+00    7.45100099e-04    1.35639696e+00    1.53470498e+00
139      1.89670592e+03    1.97543578e+00    1.91665014e-03    1.98253435e+00    7.45112143e-04    1.35970748e+00    1.53845069e+00
140      1.90546072e+03    1.97545318e+00    1.91676779e-03    1.98256307e+00    7.45124159e-04    1.36301147e+00    1.54218902e+00
141      1.91425593e+03    1.97547032e+00    1.91688681e-03    1.98259152e+00    7.45136149e-04    1.36630885e+00    1.54591986e+00
142      1.92309173e+03    1.97548718e+00    1.91700720e-03    1.98261971e+00    7.45148112e-04    1.36959953e+00    1.54964313e+00
143      1.93196832e+03    1.97550379e+00    1.91712897e-03    1.98264764e+00    7.45160049e-04    1.37288342e+00    1.55335870e+00
144      1.94088588e+03    1.97552014e+00    1.91725213e-03    1.98267531e+00    7.45171962e-04    1.37616042e+00    1.55706649e+00
145      1.94984460e+03    1.97553623e+00    1.91737668e-03    1.98270273e+00    7.45183850e-04    1.37943046e+00    1.56076640e+00
146      1.95884467e+03    1.97555207e+00    1.91750263e-03    1.98272990e+00    7.45195715e-04    1.38269343e+00    1.56445831e+00
147      1.96788629e+03    1.97556766e+00    1.91762999e-03    1.98275682e+00    7.45207558e-04    1.38594926e+00    1.56814214e+00
148      1.97696964e+03    1.97558300e+00    1.91775877e-03    1.98278349e+00    7.45219378e-04    1.38919785e+00    1.57181778e+00
149      1.98609492e+03    1.97559809e+00    1.91788897e-03    1.98280992e+00    7.45231177e-04    1.39243912e+00    1.57548514e+00
150      1.99526231e+03    1.97561294e+00    1.91802060e-03    1.98283611e+00    7.45242955e-04    1.39567298e+00    1.57914411e+00
151      2.00447203e+03    1.97562755e+00    1.91815368e-03    1.98286205e+00    7.45254714e-04    1.39889935e+00    1.58279461e+00
152      2.01372425e+03    1.97564193e+00    1.91828820e-03    1.98288775e+00    7.45266453e-04    1.40211814e+00    1.58643653e+00
153      2.02301918e+03    1.97565607e+00    1.91842417e-03    1.98291322e+00    7.45278174e-04    1.40532927e+00    1.59006979e+00
154      2.03235701e+03    1.97566998e+00    1.91856161e-03    1.98293846e+00    7.45289878e-04    1.40853265e+00    1.59369428e+00
155      2.04173794e+03    1.97568366e+00    1.91870053e-03    1.98296346e+00    7.45301564e-04    1.41172821e+00    1.59730991e+00
156      2.05116218e+03    1.97569711e+00    1.91884092e-03    1.98298824e+00    7.45313234e-04    1.41491585e+00    1.60091660e+00
157      2.06062991e+03    1.97571034e+00    1.91898280e-03    1.98301278e+00    7.45324888e-04    1.41809551e+00    1.60451424e+00
158      2.07014135e+03    1.97572334e+00    1.91912618e-03    1.98303711e+00    7.45336527e-04    1.42126709e+00    1.60810276e+00
159      2.07969669e+03    1.97573613e+00    1.91927107e-03    1.98306120e+00    7.45348152e-04    1.42443053e+00    1.61168205e+00
160      2.08929613e+03    1.97574870e+00    1.91941748e-03    1.98308508e+00    7.45359763e-04    1.42758573e+00    1.61525203e+00
161      2.09893988e+03    1.97576106e+00    1.91956541e-03    1.98310874e+00    7.45371362e-04    1.43073263e+00    1.61881261e+00
162      2.10862815e+03    1.97577321e+00    1.91971487e-03    1.98313217e+00    7.45382948e-04    1.43387114e+00    1.62236370e+00
163      2.11836114e+03    1.97578514e+00    1.91986588e-03    1.98315540e+00    7.45394523e-04    1.43700119e+00    1.62590521e+00
164      2.12813905e+03    1.97579687e+00    1.92001843e-03    1.98317841e+00    7.45406088e-04    1.44012271e+00    1.62943707e+00
165      2.13796209e+03    1.97580840e+00    1.92017256e-03    1.98320121e+00    7.45417642e-04    1.44323561e+00    1.63295919e+00
166      2.14783047e+03    1.97581972e+00    1.92032825e-03    1.98322380e+00    7.45429186e-04    1.44633982e+00    1.63647147e+00
167      2.15774441e+03    1.97583084e+00    1.92048553e-03    1.98324618e+00    7.45440722e-04    1.44943527e+00    1.63997384e+00
168      2.16770410e+03    1.97584177e+00    1.92064439e-03    1.98326835e+00    7.45452250e-04    1.45252189e+00    1.64346622e+00
169      2.17770977e+03    1.97585250e+00    1.92080487e-03    1.98329032e+00    7.45463771e-04    1.45559961e+00    1.64694852e+00
170      2.18776162e+03    1.97586304e+00    1.92096695e-03    1.98331209e+00    7.45475285e-04    1.45866835e+00    1.65042067e+00
171      2.19785987e+03    1.97587339e+00    1.92113065e-03    1.98333366e+00    7.45486793e-04    1.46172804e+00    1.65388258e+00
172      2.20800473e+03    1.97588355e+00    1.92129599e-03    1.98335503e+00    7.45498296e-04    1.46477862e+00    1.65733418e+00
173      2.21819642e+03    1.97589353e+00    1.92146297e-03    1.98337621e+00    7.45509794e-04    1.46782002e+00    1.66077539e+00
174      2.22843515e+03    1.97590332e+00    1.92163161e-03    1.98339719e+00    7.45521288e-04    1.47085216e+00    1.66420614e+00
175      2.23872114e+03    1.97591293e+00    1.92180192e-03    1.98341797e+00    7.45532779e-04    1.47387499e+00    1.66762634e+00
176      2.24905461e+03    1.97592236e+00    1.92197389e-03    1.98343857e+00    7.45544268e-04    1.47688844e+00    1.67103592e+00
177      2.25943577e+03    1.97593162e+00    1.92214756e-03    1.98345897e+00    7.45555755e-04    1.47989244e+00    1.67443482e+00
178      2.26986485e+03    1.97594070e+00    1.92232293e-03    1.98347919e+00    7.45567241e-04    1.48288692e+00    1.67782295e+00
179      2.28034207e+03    1.97594961e+00    1.92250001e-03    1.98349922e+00    7.45578726e-04    1.48587183e+00    1.68120025e+00
180      2.29086765e+03    1.97595834e+00    1.92267881e-03    1.98351907e+00    7.45590212e-04    1.48884711e+00    1.68456664e+00
181      2.30144182e+03    1.97596691e+00    1.92285934e-03    1.98353874e+00    7.45601699e-04    1.49181268e+00    1.68792207e+00
182      2.31206479e+03    1.97597532e+00    1.92304162e-03    1.98355822e+00    7.45613187e-04    1.49476850e+00    1.69126645e+00
183      2.32273680e+03    1.97598356e+00    1.92322566e-03    1.98357753e+00    7.45624678e-04    1.49771450e+00    1.69459972e+00
184      2.33345806e+03    1.97599164e+00    1.92341146e-03    1.98359665e+00    7.45636172e-04    1.50065063e+00    1.69792182e+00
185      2.34422882e+03    1.97599955e+00    1.92359905e-03    1.98361560e+00    7.45647670e-04    1.50357682e+00    1.70123268e+00
186      2.35504928e+03    1.97600731e+00    1.92378844e-03    1.98363438e+00    7.45659172e-04    1.50649301e+00    1.70453223e+00
187      2.36591970e+03    1.97601492e+00    1.92397963e-03    1.98365298e+00    7.45670679e-04    1.50939917e+00    1.70782042e+00
